icb_code,org_code,dimension_name,source,planning_ref,measure_type,metric_value,ref_key
Y59,Y59,Jul-24,current_actuals,E.B.23c,Mean,36.31021992,E.B.23cMean
Y59,Y59,Jun-24,current_actuals,E.B.23c,Count,59341,E.B.23cCount
Y59,Y59,Jun-24,current_actuals,E.B.23c,Mean,29.97450947,E.B.23cMean
Y59,Y59,May-24,current_actuals,E.B.23c,Count,61285,E.B.23cCount
Y59,Y59,May-24,current_actuals,E.B.23c,Mean,29.27243072,E.B.23cMean
Y59,Y59,Nov-24,current_actuals,E.B.23c,Count,64221,E.B.23cCount
Y59,Y59,Nov-24,current_actuals,E.B.23c,Mean,32.18625138,E.B.23cMean
Y59,Y59,Oct-24,current_actuals,E.B.23c,Count,64509,E.B.23cCount
Y59,Y59,Oct-24,current_actuals,E.B.23c,Mean,33.90953846,E.B.23cMean
Y59,Y59,Sep-24,current_actuals,E.B.23c,Count,59469,E.B.23cCount
Y59,Y59,Sep-24,current_actuals,E.B.23c,Mean,33.75587561,E.B.23cMean
QRL,QRL,Apr-24,current_actuals,E.B.35,Denominator,881,E.B.35Denominator
QRL,QRL,Apr-24,current_actuals,E.B.35,Numerator,624,E.B.35Numerator
QRL,QRL,Apr-24,current_actuals,E.B.35,Percentage,70.82860385925085,E.B.35Percentage
QRL,RHM,Apr-24,current_actuals,E.B.35,Denominator,260,E.B.35Denominator
QRL,RHM,Apr-24,current_actuals,E.B.35,Numerator,199,E.B.35Numerator
QRL,RHM,Apr-24,current_actuals,E.B.35,Percentage,76.53846153846153,E.B.35Percentage
QNX,RPC,Apr-24,current_actuals,E.B.35,Denominator,63,E.B.35Denominator
QNX,RPC,Apr-24,current_actuals,E.B.35,Numerator,51.5,E.B.35Numerator
QNX,RPC,Apr-24,current_actuals,E.B.35,Percentage,81.74603174603175,E.B.35Percentage
QKS,RPA,Apr-24,current_actuals,E.B.35,Denominator,161,E.B.35Denominator
QKS,RPA,Apr-24,current_actuals,E.B.35,Numerator,112.5,E.B.35Numerator
QKS,RPA,Apr-24,current_actuals,E.B.35,Percentage,69.87577639751554,E.B.35Percentage
QKS,RWF,Apr-24,current_actuals,E.B.35,Denominator,179,E.B.35Denominator
QKS,RWF,Apr-24,current_actuals,E.B.35,Numerator,153.5,E.B.35Numerator
QKS,RWF,Apr-24,current_actuals,E.B.35,Percentage,85.75418994413407,E.B.35Percentage
QKS,RVV,Apr-24,current_actuals,E.B.35,Denominator,370.5,E.B.35Denominator
QKS,RVV,Apr-24,current_actuals,E.B.35,Numerator,244.5,E.B.35Numerator
QKS,RVV,Apr-24,current_actuals,E.B.35,Percentage,65.9919028340081,E.B.35Percentage
QNX,QNX,Apr-24,current_actuals,E.B.35,Denominator,979,E.B.35Denominator
QNX,QNX,Apr-24,current_actuals,E.B.35,Numerator,615,E.B.35Numerator
QNX,QNX,Apr-24,current_actuals,E.B.35,Percentage,62.819203268641466,E.B.35Percentage
QU9,RXQ,Apr-24,current_actuals,E.B.35,Denominator,190.5,E.B.35Denominator
QU9,RXQ,Apr-24,current_actuals,E.B.35,Numerator,121,E.B.35Numerator
QU9,RXQ,Apr-24,current_actuals,E.B.35,Percentage,63.51706036745407,E.B.35Percentage
QRL,R1F,Apr-24,current_actuals,E.B.35,Denominator,81.5,E.B.35Denominator
QRL,R1F,Apr-24,current_actuals,E.B.35,Numerator,52.5,E.B.35Numerator
QRL,R1F,Apr-24,current_actuals,E.B.35,Percentage,64.41717791411043,E.B.35Percentage
