icb_code,org_code,dimension_name,planning_ref,measure_type,ref_key,source,total_var,perc_var
QXU,RYD,Apr-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-4.086867909999999,-0.14595956821428566
QXU,RYD,Aug-24,E.B.23c,Count,E.B.23cCount,June24_plan,-6594,-0.16953771789993316
QXU,RYD,Aug-24,E.B.23c,Count,E.B.23cCount,march24_plan,-6594,-0.16953771789993316
QXU,RYD,Aug-24,E.B.23c,Count,E.B.23cCount,may24_plan,-6594,-0.16953771789993316
QXU,RYD,Aug-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-4.36816099,-0.14090841903225806
QXU,RYD,Aug-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-4.36816099,-0.14090841903225806
QXU,RYD,Aug-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-4.36816099,-0.14090841903225806
QXU,RYD,Jul-24,E.B.23c,Count,E.B.23cCount,June24_plan,-5545,-0.14086832812539696
QXU,RYD,Jul-24,E.B.23c,Count,E.B.23cCount,march24_plan,-5545,-0.14086832812539696
QXU,RYD,Jul-24,E.B.23c,Count,E.B.23cCount,may24_plan,-5545,-0.14086832812539696
QXU,RYD,Jul-24,E.B.23c,Mean,E.B.23cMean,June24_plan,4.507026340000003,0.15541470137931046
QXU,RYD,Jul-24,E.B.23c,Mean,E.B.23cMean,march24_plan,4.507026340000003,0.15541470137931046
QXU,RYD,Jul-24,E.B.23c,Mean,E.B.23cMean,may24_plan,4.507026340000003,0.15541470137931046
QXU,RYD,Jun-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4319,-0.11521020059752454
QXU,RYD,Jun-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4319,-0.11521020059752454
QXU,RYD,Jun-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4319,-0.11521020059752454
QXU,RYD,Jun-24,E.B.23c,Mean,E.B.23cMean,June24_plan,2.0001612999999985,0.07143433214285709
QXU,RYD,Jun-24,E.B.23c,Mean,E.B.23cMean,march24_plan,2.0001612999999985,0.07143433214285709
QXU,RYD,Jun-24,E.B.23c,Mean,E.B.23cMean,may24_plan,2.0001612999999985,0.07143433214285709
QXU,RYD,May-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4728,-0.12156116624672186
QXU,RYD,May-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4728,-0.12156116624672186
QXU,RYD,May-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4728,-0.12156116624672186
QXU,RYD,May-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-2.2930696200000007,-0.0818953435714286
QXU,RYD,May-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-2.2930696200000007,-0.0818953435714286
QXU,RYD,May-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-2.2930696200000007,-0.0818953435714286
QXU,RYD,Nov-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4399,-0.11044161582686852
QXU,RYD,Nov-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4399,-0.11044161582686852
QXU,RYD,Nov-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4399,-0.11044161582686852
QXU,RYD,Nov-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-4.541152539999999,-0.137610683030303
QXU,RYD,Nov-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-4.541152539999999,-0.137610683030303
QXU,RYD,Nov-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-4.541152539999999,-0.137610683030303
QXU,RYD,Oct-24,E.B.23c,Count,E.B.23cCount,June24_plan,-3649,-0.09270126768793029
QXU,RYD,Oct-24,E.B.23c,Count,E.B.23cCount,march24_plan,-3649,-0.09270126768793029
QXU,RYD,Oct-24,E.B.23c,Count,E.B.23cCount,may24_plan,-3649,-0.09270126768793029
QXU,RYD,Oct-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-0.49025965999999954,-0.015814827741935468
QXU,RYD,Oct-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-0.49025965999999954,-0.015814827741935468
QXU,RYD,Oct-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-0.49025965999999954,-0.015814827741935468
QXU,RYD,Sep-24,E.B.23c,Count,E.B.23cCount,June24_plan,-4816,-0.1284677763551003
QXU,RYD,Sep-24,E.B.23c,Count,E.B.23cCount,march24_plan,-4816,-0.1284677763551003
QXU,RYD,Sep-24,E.B.23c,Count,E.B.23cCount,may24_plan,-4816,-0.1284677763551003
QXU,RYD,Sep-24,E.B.23c,Mean,E.B.23cMean,June24_plan,-0.07721289999999925,-0.002573763333333308
QXU,RYD,Sep-24,E.B.23c,Mean,E.B.23cMean,march24_plan,-0.07721289999999925,-0.002573763333333308
QXU,RYD,Sep-24,E.B.23c,Mean,E.B.23cMean,may24_plan,-0.07721289999999925,-0.002573763333333308
Y59,Y59,Apr-24,E.B.23c,Count,E.B.23cCount,march24_plan,58897,NA
Y59,Y59,Apr-24,E.B.23c,Count,E.B.23cCount,may24_plan,58897,NA
Y59,Y59,Aug-24,E.B.23c,Count,E.B.23cCount,march24_plan,57957,NA
Y59,Y59,Aug-24,E.B.23c,Count,E.B.23cCount,may24_plan,57957,NA
Y59,Y59,Jul-24,E.B.23c,Count,E.B.23cCount,march24_plan,61310,NA
Y59,Y59,Jul-24,E.B.23c,Count,E.B.23cCount,may24_plan,61310,NA
Y59,Y59,Jun-24,E.B.23c,Count,E.B.23cCount,march24_plan,59341,NA
Y59,Y59,Jun-24,E.B.23c,Count,E.B.23cCount,may24_plan,59341,NA
Y59,Y59,May-24,E.B.23c,Count,E.B.23cCount,march24_plan,61285,NA
Y59,Y59,May-24,E.B.23c,Count,E.B.23cCount,may24_plan,61285,NA
Y59,Y59,Nov-24,E.B.23c,Count,E.B.23cCount,march24_plan,64221,NA
Y59,Y59,Nov-24,E.B.23c,Count,E.B.23cCount,may24_plan,64221,NA
Y59,Y59,Oct-24,E.B.23c,Count,E.B.23cCount,march24_plan,64509,NA
Y59,Y59,Oct-24,E.B.23c,Count,E.B.23cCount,may24_plan,64509,NA
Y59,Y59,Sep-24,E.B.23c,Count,E.B.23cCount,march24_plan,59469,NA
Y59,Y59,Sep-24,E.B.23c,Count,E.B.23cCount,may24_plan,59469,NA
QRL,QRL,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,-55,-0.05876068376068376
QRL,QRL,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,-55,-0.05876068376068376
QRL,QRL,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,-55,-0.05876068376068376
QRL,QRL,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,-49,-0.07280832095096583
QRL,QRL,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,-49,-0.07280832095096583
QRL,QRL,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,-49,-0.07280832095096583
QRL,QRL,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,-1.0731055424585492,-1.0731055424585492
QRL,QRL,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,-1.0731055424585492,-1.0731055424585492
QRL,QRL,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,-1.0731055424585492,-1.0731055424585492
QRL,RHM,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,-43,-0.1419141914191419
QRL,RHM,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,-43,-0.1419141914191419
QRL,RHM,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,-43,-0.1419141914191419
QRL,RHM,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,0,0
QRL,RHM,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,0,0
QRL,RHM,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,0,0
QRL,RHM,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,10.861893881695863,10.861893881695863
QRL,RHM,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,10.861893881695863,10.861893881695863
QRL,RHM,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,10.861893881695863,10.861893881695863
QNX,RPC,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,16,0.3404255319148936
QNX,RPC,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,10,0.18867924528301888
QNX,RPC,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,16,0.3404255319148936
QNX,RPC,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,18.5,0.5606060606060606
QNX,RPC,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,5.5,0.11956521739130435
QNX,RPC,Apr-24,E.B.35,Numerator,E.B.35Numerator,may24_plan,18.5,0.5606060606060606
QNX,RPC,Apr-24,E.B.35,Percentage,E.B.35Percentage,June24_plan,11.533265788584941,11.533265788584941
QNX,RPC,Apr-24,E.B.35,Percentage,E.B.35Percentage,march24_plan,-5.046421084156933,-5.046421084156933
QNX,RPC,Apr-24,E.B.35,Percentage,E.B.35Percentage,may24_plan,11.533265788584941,11.533265788584941
QKS,RPA,Apr-24,E.B.35,Denominator,E.B.35Denominator,June24_plan,67,0.7127659574468085
QKS,RPA,Apr-24,E.B.35,Denominator,E.B.35Denominator,march24_plan,67,0.7127659574468085
QKS,RPA,Apr-24,E.B.35,Denominator,E.B.35Denominator,may24_plan,67,0.7127659574468085
QKS,RPA,Apr-24,E.B.35,Numerator,E.B.35Numerator,June24_plan,43.5,0.6304347826086957
QKS,RPA,Apr-24,E.B.35,Numerator,E.B.35Numerator,march24_plan,43.5,0.6304347826086957
